Paper ID,Paper Title,Author(s),Session,Oral
7,Unsupervised Learning of Probably Symmetric Deformable 3D Objects From Images in the Wild,"Shangzhe Wu, Christian Rupprecht, Andrea Vedaldi",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
2582,Footprints and Free Space From a Single Color Image,"Jamie Watson, Michael Firman, Aron Monszpart, Gabriel J. Brostow",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
3092,Dynamic Fluid Surface Reconstruction Using Deep Neural Network,"Simron Thapa, Nianyi Li, Jinwei Ye",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
5908,CvxNet: Learnable Convex Decomposition,"Boyang Deng, Kyle Genova, Soroosh Yazdani, Sofien Bouaziz, Geoffrey Hinton, Andrea Tagliasacchi",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
789,BSP-Net: Generating Compact Meshes via Binary Space Partitioning,"Zhiqin Chen, Andrea Tagliasacchi, Hao Zhang",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
4498,"Total3DUnderstanding: Joint Layout, Object Pose and Mesh Reconstruction for Indoor Scenes From a Single Image","Yinyu Nie, Xiaoguang Han, Shihui Guo, Yujian Zheng, Jian Chang, Jian Jun Zhang",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
6136,Generating and Exploiting Probabilistic Monocular Depth Estimates,"Zhihao Xia, Patrick Sullivan, Ayan Chakrabarti",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
6035,Neural Cages for Detail-Preserving 3D Deformations,"Wang Yifan, Noam Aigerman, Vladimir G. Kim, Siddhartha Chaudhuri, Olga Sorkine-Hornung",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
5870,PIFuHD: Multi-Level Pixel-Aligned Implicit Function for High-Resolution 3D Human Digitization,"Shunsuke Saito, Tomas Simon, Jason Saragih, Hanbyul Joo",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
6433,A Lighting-Invariant Point Processor for Shading,"Kathryn Heal, Jialiang Wang, Steven J. Gortler, Todd Zickler",Oral 1.1A — 3D From a Single Image and Shape-From-X (1),True
